Name, time, alt, az
STARLINK-1341           , 2020-06-05 01:51:00+01:00, 82.90, 335.74
STARLINK-1230           , 2020-06-05 01:54:00+01:00, 32.71, 208.66
STARLINK-1374           , 2020-06-05 01:55:00+01:00, 81.17, 358.99
STARLINK-1243           , 2020-06-05 01:59:00+01:00, 30.62, 208.71
STARLINK-1339           , 2020-06-05 01:59:00+01:00, 78.76, 12.03
STARLINK-1377           , 2020-06-05 02:03:00+01:00, 77.81, 337.20
STARLINK-1353           , 2020-06-05 02:07:00+01:00, 76.47, 342.45
STARLINK-1375           , 2020-06-05 02:11:00+01:00, 74.65, 8.98
STARLINK-1350           , 2020-06-05 02:15:00+01:00, 74.05, 346.30
STARLINK-1352           , 2020-06-05 02:19:00+01:00, 72.65, 339.15
STARLINK-1368           , 2020-06-05 02:23:00+01:00, 71.02, 332.63
STARLINK-29             , 2020-06-05 02:26:00+01:00, 70.35, 27.69
STARLINK-1369           , 2020-06-05 02:27:00+01:00, 69.11, 326.25
STARLINK-28             , 2020-06-05 02:29:00+01:00, 32.15, 130.10
STARLINK-1372           , 2020-06-05 02:31:00+01:00, 66.91, 320.36
STARLINK-1378           , 2020-06-05 02:35:00+01:00, 67.03, 324.59
STARLINK-1379           , 2020-06-05 02:39:00+01:00, 61.58, 310.07
STARLINK-1329           , 2020-06-05 02:42:00+01:00, 64.30, 318.51
STARLINK-33             , 2020-06-05 02:46:00+01:00, 38.84, 142.71
STARLINK-1040           , 2020-06-05 02:46:00+01:00, 58.17, 220.45
STARLINK-1362           , 2020-06-05 02:46:00+01:00, 61.12, 311.89
STARLINK-1290           , 2020-06-05 02:50:00+01:00, 30.96, 161.81
STARLINK-1322           , 2020-06-05 02:50:00+01:00, 58.53, 329.33
STARLINK-1320           , 2020-06-05 02:50:00+01:00, 62.71, 8.09
STARLINK-1373           , 2020-06-05 02:51:00+01:00, 64.59, 34.84
STARLINK-1294           , 2020-06-05 02:51:00+01:00, 62.93, 7.82
STARLINK-1261           , 2020-06-05 02:51:00+01:00, 58.36, 328.74
STARLINK-1324           , 2020-06-05 02:51:00+01:00, 57.23, 39.27
STARLINK-1325           , 2020-06-05 02:52:00+01:00, 56.55, 41.78
STARLINK-1334           , 2020-06-05 02:52:00+01:00, 57.45, 325.77
STARLINK-1333           , 2020-06-05 02:52:00+01:00, 62.96, 6.52
STARLINK-1323           , 2020-06-05 02:53:00+01:00, 63.08, 4.34
STARLINK-1326           , 2020-06-05 02:53:00+01:00, 58.42, 36.81
STARLINK-1349           , 2020-06-05 02:53:00+01:00, 57.29, 325.21
STARLINK-1336           , 2020-06-05 02:54:00+01:00, 57.68, 39.72
STARLINK-1344           , 2020-06-05 02:54:00+01:00, 57.09, 324.47
STARLINK-1331           , 2020-06-05 02:54:00+01:00, 63.21, 1.48
STARLINK-1390           , 2020-06-05 02:55:00+01:00, 68.59, 10.78
STARLINK-1346           , 2020-06-05 02:55:00+01:00, 63.54, 358.92
STARLINK-1328           , 2020-06-05 02:55:00+01:00, 56.89, 323.77
STARLINK-1343           , 2020-06-05 02:55:00+01:00, 57.92, 39.49
STARLINK-1354           , 2020-06-05 02:56:00+01:00, 58.91, 37.07
STARLINK-1357           , 2020-06-05 02:56:00+01:00, 56.52, 322.71
STARLINK-1347           , 2020-06-05 02:56:00+01:00, 63.31, 358.00
STARLINK-66             , 2020-06-05 02:57:00+01:00, 46.47, 144.08
STARLINK-1327           , 2020-06-05 02:57:00+01:00, 63.34, 355.74
STARLINK-1335           , 2020-06-05 02:57:00+01:00, 59.07, 37.25
STARLINK-1340           , 2020-06-05 02:57:00+01:00, 54.26, 317.53
STARLINK-1365           , 2020-06-05 02:57:00+01:00, 68.87, 350.92
STARLINK-1355           , 2020-06-05 02:58:00+01:00, 55.69, 320.36
STARLINK-1356           , 2020-06-05 02:58:00+01:00, 59.93, 34.79
STARLINK-1345           , 2020-06-05 02:58:00+01:00, 63.09, 350.52
STARLINK-1358           , 2020-06-05 02:59:00+01:00, 63.45, 352.92
STARLINK-1321           , 2020-06-05 02:59:00+01:00, 60.22, 34.49
STARLINK-1332           , 2020-06-05 02:59:00+01:00, 54.91, 318.53
STARLINK-1272           , 2020-06-05 03:00:00+01:00, 35.20, 133.37
STARLINK-1348           , 2020-06-05 03:00:00+01:00, 60.95, 32.38
STARLINK-1363           , 2020-06-05 03:00:00+01:00, 54.73, 317.99
STARLINK-1330           , 2020-06-05 03:00:00+01:00, 63.32, 350.07
STARLINK-52             , 2020-06-05 03:01:00+01:00, 62.52, 291.77
STARLINK-1342           , 2020-06-05 03:01:00+01:00, 63.16, 347.21
STARLINK-1337           , 2020-06-05 03:01:00+01:00, 61.20, 32.45
STARLINK-1364           , 2020-06-05 03:01:00+01:00, 53.98, 316.45
